ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
EZPW,2024-03-31,Q,1.9059,0.4764
EZFL,2024-03-31,Q,64.1911,-2.1933
EYEN,2024-03-31,Q,-127.3416,8.2047
OLB,2024-03-31,Q,-21.5603,0.0508
EYE,2024-03-31,Q,0.9488,0.5455
ENVA,2024-03-31,Q,1.1555,2.6437
EXLS,2024-03-31,Q,4.5015,0.4295
ONDS,2024-03-31,Q,-33.2198,1.0569
ONEW,2024-03-31,Q,-0.5685,2.612
EW,2024-03-31,Q,4.5095,0.0831
EVTV,2024-03-31,Q,-24.4808,0.0621
ONFO,2024-03-31,Q,-10.6503,0.2833
ONIT,2024-03-31,Q,0.306,21.763
EVTC,2024-03-31,Q,1.1278,2.0452
ONL,2024-03-31,Q,-1.9794,0.548
EVRG,2024-03-31,Q,0.59,1.4104
EVR,2024-03-31,Q,4.6055,0.2268
EVRI,2024-03-31,Q,0.3799,4.1898
